ppcg_sample_id,relative_file_path
PPCG1407b_DNA,sorted_PCAWG.d4064e16-29dc-4f40-a031-f9e27ffb1906.bam
PPCG1404c_DNA,sorted_PCAWG.e22e63de-c436-43c0-a595-022622c1fe06.bam
PPCG1409a_DNA,sorted_PCAWG.01497a54-775c-479f-a540-d69dd6aa5d8e.bam
PPCG1416a_DNA,sorted_PCAWG.5c7b3dc8-f64b-4ca9-bd43-2245297450b4.bam
PPCG1418c_DNA,sorted_PCAWG.47bf2008-b69a-4ac7-9f85-99f4af82a0de.bam
PPCG1408b_DNA,sorted_PCAWG.5e4b6272-bdb4-43ed-b115-b42b8cdc20aa.bam
PPCG1410b_DNA,sorted_PCAWG.9e10f787-5c95-4dc9-be39-57f39053d70a.bam
PPCG1405a_DNA,sorted_PCAWG.9b6fa733-42d2-4b14-b2fb-6c2ad0037552.bam
PPCG1413b_DNA,sorted_PCAWG.fbed97b0-0c37-4ead-89dd-d7c89cc06e7c.bam
PPCG1415a_DNA,sorted_PCAWG.895738a5-6870-4851-a53a-e538efbe2d5d.bam
PPCG1406b_DNA,sorted_PCAWG.8782a5f4-21f0-4bee-899c-6a051499970a.bam
PPCG1408a_DNA,sorted_PCAWG.f0f6e889-4a50-4323-82ad-9f9a97d29cd5.bam
PPCG1420a_DNA,sorted_PCAWG.a69da2d5-e8ae-499e-a67c-0d171799c133.bam
PPCG1403b_DNA,sorted_PCAWG.16800c6a-63dd-4bc7-b01b-9be514dfaabb.bam
PPCG1414b_DNA,sorted_PCAWG.9e64b0f6-b560-4bce-bbd3-58ec5e5ea282.bam
PPCG1420b_DNA,sorted_PCAWG.482f682a-7551-475e-81c9-d6e1df495e3a.bam
PPCG1411a_DNA,sorted_PCAWG.33264163-44a5-4f87-b5f2-d2f075daced0.bam
PPCG1403a_DNA,sorted_PCAWG.d39aaa98-628b-4fe7-963e-308f63379aec.bam
PPCG1421a_DNA,sorted_PCAWG.e3beae21-062b-443f-ba80-72e81bdf5446.bam
PPCG1418a_DNA,sorted_PCAWG.5285aa96-c8c2-485c-a76e-327ef6fd8875.bam
PPCG1410a_DNA,sorted_PCAWG.a7e47234-0565-4b38-8271-9f585a602e20.bam
PPCG1414a_DNA,sorted_PCAWG.ffa673a4-5330-4571-abcc-6f13e7611692.bam
PPCG1419b_DNA,sorted_PCAWG.6269308c-85ac-4e52-b979-472bb4f8de47.bam
PPCG1412a_DNA,sorted_PCAWG.802e4a21-d717-40aa-8d6f-b82d78a8077a.bam
PPCG1422b_DNA,sorted_PCAWG.34f66158-f8af-4de3-b55a-cc44d8ebd143.bam
PPCG1422a_DNA,sorted_PCAWG.3b8eb3f9-0ebb-4da8-bb18-7d1bf75ce527.bam
PPCG1411b_DNA,sorted_PCAWG.203c65c9-00a6-4e73-8282-854972e5b36e.bam
PPCG1416b_DNA,sorted_PCAWG.1d7f3a4b-3795-4ba5-a840-583767b7a96f.bam
PPCG1406a_DNA,sorted_PCAWG.7cc4fdc8-3807-48f9-a52c-cc5043b73767.bam
PPCG1409b_DNA,sorted_PCAWG.faeb4dd6-68d9-4bed-82e8-d12adca6b28c.bam
PPCG1413a_DNA,sorted_PCAWG.67921f6e-228b-4ee1-ba51-f6ddd03ce71d.bam
PPCG1405c_DNA,sorted_PCAWG.3f4a5a1c-247f-448f-9d39-9a7e92de4b61.bam
PPCG1417a_DNA,sorted_PCAWG.cb950391-e450-477c-9bb9-7c6699f764cc.bam
PPCG1407a_DNA,sorted_PCAWG.6c5b6b24-27d5-4051-8b5a-06f2292fc576.bam
PPCG1419a_DNA,sorted_PCAWG.eb8ab977-5fdd-4763-9466-7ccd5f56c189.bam
PPCG1421b_DNA,sorted_PCAWG.3b3f76bf-d639-408d-94af-601466f339a6.bam
PPCG1417b_DNA,sorted_PCAWG.2ef785e0-283d-430e-99d7-536a8a67c39e.bam
PPCG1404a_DNA,sorted_PCAWG.53420f15-0856-4359-957d-3295ef631f6a.bam
PPCG1415b_DNA,sorted_PCAWG.6ec3ed4e-0393-4f8e-b104-fba1a8daca8d.bam
PPCG1412b_DNA,sorted_PCAWG.aeabee98-7e0c-41f0-81b5-893d0dafc957.bam